#: table_doi: 10.17182/hepdata.74824.v1/t156
#: name: Table 156
#: description: Fm wave cross section for -T.

#: data_file: Table156.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.9-1.0
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=fmwave) [MUB/GEV**3]",error +,error -
1.1150000000000002,1.11,1.12,0.1234,0.0754,-0.0754
1.125,1.12,1.13,0.1262,0.0772,-0.0772
1.1349999999999998,1.13,1.14,0.1293,0.0791,-0.0791
1.145,1.14,1.15,0.1326,0.081,-0.081
1.1549999999999998,1.15,1.16,0.136,0.083,-0.083
1.165,1.16,1.17,0.1397,0.0851,-0.0851
1.1749999999999998,1.17,1.18,0.1436,0.0872,-0.0872
1.185,1.18,1.19,0.1478,0.0895,-0.0895
1.1949999999999998,1.19,1.2,0.1522,0.0919,-0.0919
1.205,1.2,1.21,0.1568,0.0945,-0.0945
1.2149999999999999,1.21,1.22,0.1617,0.0971,-0.0971
1.225,1.22,1.23,0.167,0.0999,-0.0999
1.2349999999999999,1.23,1.24,0.1725,0.1029,-0.1029
1.245,1.24,1.25,0.1783,0.106,-0.106
1.255,1.25,1.26,0.1844,0.1093,-0.1093
1.2650000000000001,1.26,1.27,0.1909,0.1128,-0.1128
1.275,1.27,1.28,0.1977,0.1166,-0.1166
1.2850000000000001,1.28,1.29,0.2048,0.1205,-0.1205
1.295,1.29,1.3,0.2124,0.1247,-0.1247
1.3050000000000002,1.3,1.31,0.2203,0.1292,-0.1292
1.315,1.31,1.32,0.2286,0.1339,-0.1339
1.3250000000000002,1.32,1.33,0.2373,0.1389,-0.1389
1.335,1.33,1.34,0.2464,0.1442,-0.1442
1.3450000000000002,1.34,1.35,0.256,0.1498,-0.1498
1.355,1.35,1.36,0.2661,0.1557,-0.1557
1.3650000000000002,1.36,1.37,0.2766,0.162,-0.162
1.375,1.37,1.38,0.2876,0.1687,-0.1687
1.3849999999999998,1.38,1.39,0.299,0.1757,-0.1757
1.395,1.39,1.4,0.311,0.1831,-0.1831

