#: table_doi: 10.17182/hepdata.74824.v1/t136
#: name: Table 136
#: description: D0 wave cross section for -T.

#: data_file: Table136.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.7-0.8
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=d0wave) [MUB/GEV**3]",error +,error -
0.855,0.85,0.86,0.0617,0.0513,-0.0513
0.865,0.86,0.87,0.0612,0.052,-0.052
0.875,0.87,0.88,0.0608,0.0526,-0.0526
0.885,0.88,0.89,0.0603,0.0532,-0.0532
0.895,0.89,0.9,0.0598,0.0537,-0.0537
0.905,0.9,0.91,0.0593,0.0541,-0.0541
0.915,0.91,0.92,0.0587,0.0544,-0.0544
0.925,0.92,0.93,0.0581,0.0546,-0.0546
0.935,0.93,0.94,0.0575,0.0548,-0.0548
0.945,0.94,0.95,0.0568,0.0548,-0.0548
0.955,0.95,0.96,0.0562,0.0549,-0.0549
0.965,0.96,0.97,0.0555,0.0549,-0.0549
0.975,0.97,0.98,0.0547,0.0548,-0.0548
0.985,0.98,0.99,0.054,0.0548,-0.0548
0.995,0.99,1.0,0.0533,0.0547,-0.0547
1.005,1.0,1.01,0.0525,0.0547,-0.0547
1.0150000000000001,1.01,1.02,0.0518,0.0547,-0.0547
1.025,1.02,1.03,0.0512,0.0547,-0.0547
1.0350000000000001,1.03,1.04,0.0506,0.0549,-0.0549
1.045,1.04,1.05,0.0501,0.0552,-0.0552
1.0550000000000002,1.05,1.06,0.0498,0.0556,-0.0556
1.065,1.06,1.07,0.0496,0.0562,-0.0562
1.0750000000000002,1.07,1.08,0.0498,0.057,-0.057
1.085,1.08,1.09,0.0503,0.0581,-0.0581
1.0950000000000002,1.09,1.1,0.0513,0.0595,-0.0595
1.105,1.1,1.11,0.0528,0.0613,-0.0613
1.1150000000000002,1.11,1.12,0.0551,0.0635,-0.0635
1.125,1.12,1.13,0.0583,0.0662,-0.0662
1.1349999999999998,1.13,1.14,0.0626,0.0694,-0.0694
1.145,1.14,1.15,0.0683,0.0732,-0.0732
1.1549999999999998,1.15,1.16,0.0757,0.0776,-0.0776
1.165,1.16,1.17,0.085,0.0827,-0.0827
1.1749999999999998,1.17,1.18,0.0966,0.0886,-0.0886
1.185,1.18,1.19,0.1109,0.0953,-0.0953
1.1949999999999998,1.19,1.2,0.128,0.1028,-0.1028
1.205,1.2,1.21,0.148,0.1114,-0.1114
1.2149999999999999,1.21,1.22,0.1709,0.1212,-0.1212
1.225,1.22,1.23,0.1959,0.1324,-0.1324
1.2349999999999999,1.23,1.24,0.2221,0.1452,-0.1452
1.245,1.24,1.25,0.2478,0.1598,-0.1598
1.255,1.25,1.26,0.2708,0.1758,-0.1758
1.2650000000000001,1.26,1.27,0.2888,0.1928,-0.1928
1.275,1.27,1.28,0.3,0.2095,-0.2095
1.2850000000000001,1.28,1.29,0.303,0.2246,-0.2246
1.295,1.29,1.3,0.2981,0.2371,-0.2371
1.3050000000000002,1.3,1.31,0.2863,0.2459,-0.2459
1.315,1.31,1.32,0.2695,0.251,-0.251
1.3250000000000002,1.32,1.33,0.2499,0.2526,-0.2526
1.335,1.33,1.34,0.2294,0.2513,-0.2513
1.3450000000000002,1.34,1.35,0.2099,0.2481,-0.2481
1.355,1.35,1.36,0.1926,0.244,-0.244
1.3650000000000002,1.36,1.37,0.1786,0.2401,-0.2401
1.375,1.37,1.38,0.1686,0.2374,-0.2374
1.3849999999999998,1.38,1.39,0.1631,0.237,-0.237
1.395,1.39,1.4,0.1625,0.2397,-0.2397

