#: table_doi: 10.17182/hepdata.74824.v1/t157
#: name: Table 157
#: description: F0 wave cross section for -T.

#: data_file: Table157.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.4-0.5
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=f0wave) [MUB/GEV**3]",error +,error -
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=f0wave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0966,0.1002,-0.1002
0.415,0.41,0.42,0.1115,0.1155,-0.1155
0.425,0.42,0.43,0.1269,0.1312,-0.1312
0.435,0.43,0.44,0.1427,0.1474,-0.1474
0.445,0.44,0.45,0.1589,0.1639,-0.1639
0.455,0.45,0.46,0.1753,0.1805,-0.1805
0.46499999999999997,0.46,0.47,0.1919,0.1972,-0.1972
0.475,0.47,0.48,0.2085,0.2139,-0.2139
0.485,0.48,0.49,0.2251,0.2305,-0.2305
0.495,0.49,0.5,0.2416,0.247,-0.247
0.505,0.5,0.51,0.258,0.2633,-0.2633
0.515,0.51,0.52,0.2742,0.2792,-0.2792
0.525,0.52,0.53,0.2901,0.2949,-0.2949
0.535,0.53,0.54,0.3058,0.3102,-0.3102
0.545,0.54,0.55,0.3212,0.325,-0.325
0.555,0.55,0.56,0.3362,0.3394,-0.3394
0.565,0.56,0.57,0.3508,0.3533,-0.3533
0.575,0.57,0.58,0.365,0.3667,-0.3667
0.585,0.58,0.59,0.3787,0.3795,-0.3795
0.595,0.59,0.6,0.392,0.3917,-0.3917
0.605,0.6,0.61,0.4048,0.4034,-0.4034
0.615,0.61,0.62,0.4172,0.4144,-0.4144
0.625,0.62,0.63,0.429,0.4248,-0.4248
0.635,0.63,0.64,0.4402,0.4346,-0.4346
0.645,0.64,0.65,0.451,0.4437,-0.4437
0.655,0.65,0.66,0.4612,0.4521,-0.4521
0.665,0.66,0.67,0.4708,0.4598,-0.4598
0.675,0.67,0.68,0.4799,0.4669,-0.4669
0.685,0.68,0.69,0.4884,0.4733,-0.4733
0.695,0.69,0.7,0.4963,0.479,-0.479
0.705,0.7,0.71,0.5037,0.4839,-0.4839
0.715,0.71,0.72,0.5105,0.4882,-0.4882
0.725,0.72,0.73,0.5168,0.4918,-0.4918
0.735,0.73,0.74,0.5225,0.4947,-0.4947
0.745,0.74,0.75,0.5276,0.4969,-0.4969
0.755,0.75,0.76,0.5321,0.4985,-0.4985
0.765,0.76,0.77,0.5361,0.4993,-0.4993
0.775,0.77,0.78,0.5396,0.4995,-0.4995
0.785,0.78,0.79,0.5425,0.4989,-0.4989
0.795,0.79,0.8,0.5448,0.4978,-0.4978
0.805,0.8,0.81,0.5467,0.4959,-0.4959
0.815,0.81,0.82,0.548,0.4935,-0.4935
0.825,0.82,0.83,0.5488,0.4904,-0.4904
0.835,0.83,0.84,0.5491,0.4866,-0.4866
0.845,0.84,0.85,0.5489,0.4823,-0.4823
0.855,0.85,0.86,0.5483,0.4774,-0.4774
0.865,0.86,0.87,0.5471,0.4718,-0.4718
0.875,0.87,0.88,0.5456,0.4657,-0.4657
0.885,0.88,0.89,0.5435,0.4591,-0.4591
0.895,0.89,0.9,0.5411,0.452,-0.452
0.905,0.9,0.91,0.5383,0.4443,-0.4443
0.915,0.91,0.92,0.535,0.4361,-0.4361
0.925,0.92,0.93,0.5314,0.4275,-0.4275
0.935,0.93,0.94,0.5274,0.4184,-0.4184
0.945,0.94,0.95,0.5231,0.4089,-0.4089
0.955,0.95,0.96,0.5185,0.399,-0.399
0.965,0.96,0.97,0.5136,0.3887,-0.3887
0.975,0.97,0.98,0.5083,0.378,-0.378
0.985,0.98,0.99,0.5029,0.3671,-0.3671
0.995,0.99,1.0,0.4972,0.3559,-0.3559
1.005,1.0,1.01,0.4912,0.3444,-0.3444
1.0150000000000001,1.01,1.02,0.4851,0.3328,-0.3328
1.025,1.02,1.03,0.4788,0.321,-0.321
1.0350000000000001,1.03,1.04,0.4724,0.309,-0.309
1.045,1.04,1.05,0.4659,0.297,-0.297
1.0550000000000002,1.05,1.06,0.4592,0.285,-0.285
1.065,1.06,1.07,0.4525,0.273,-0.273
1.0750000000000002,1.07,1.08,0.4458,0.2612,-0.2612
1.085,1.08,1.09,0.439,0.2495,-0.2495
1.0950000000000002,1.09,1.1,0.4323,0.2382,-0.2382
1.105,1.1,1.11,0.4256,0.2271,-0.2271
1.1150000000000002,1.11,1.12,0.419,0.2166,-0.2166
1.125,1.12,1.13,0.4126,0.2067,-0.2067
1.1349999999999998,1.13,1.14,0.4062,0.1974,-0.1974
1.145,1.14,1.15,0.4001,0.189,-0.189
1.1549999999999998,1.15,1.16,0.3941,0.1816,-0.1816
1.165,1.16,1.17,0.3884,0.1753,-0.1753
1.1749999999999998,1.17,1.18,0.383,0.1702,-0.1702
1.185,1.18,1.19,0.3779,0.1665,-0.1665
1.1949999999999998,1.19,1.2,0.3731,0.1642,-0.1642
1.205,1.2,1.21,0.3687,0.1634,-0.1634
1.2149999999999999,1.21,1.22,0.3648,0.164,-0.164
1.225,1.22,1.23,0.3613,0.166,-0.166
1.2349999999999999,1.23,1.24,0.3584,0.1692,-0.1692
1.245,1.24,1.25,0.356,0.1736,-0.1736
1.255,1.25,1.26,0.3542,0.1791,-0.1791
1.2650000000000001,1.26,1.27,0.353,0.1854,-0.1854
1.275,1.27,1.28,0.3526,0.1924,-0.1924
1.2850000000000001,1.28,1.29,0.3528,0.2,-0.2
1.295,1.29,1.3,0.3538,0.2081,-0.2081
1.3050000000000002,1.3,1.31,0.3556,0.2165,-0.2165
1.315,1.31,1.32,0.3584,0.2252,-0.2252
1.3250000000000002,1.32,1.33,0.362,0.2342,-0.2342
1.335,1.33,1.34,0.3665,0.2433,-0.2433
1.3450000000000002,1.34,1.35,0.3721,0.2525,-0.2525
1.355,1.35,1.36,0.3788,0.2618,-0.2618
1.3650000000000002,1.36,1.37,0.3866,0.2712,-0.2712
1.375,1.37,1.38,0.3955,0.2807,-0.2807
1.3849999999999998,1.38,1.39,0.4057,0.2904,-0.2904
1.395,1.39,1.4,0.4172,0.3002,-0.3002

