#: table_doi: 10.17182/hepdata.74824.v1/t128
#: name: Table 128
#: description: Dm wave cross section for -T.

#: data_file: Table128.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.5-0.6
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=dmwave) [MUB/GEV**3]",error +,error -
1.3050000000000002,1.3,1.31,0.1801,0.1432,-0.1432
1.315,1.31,1.32,0.1651,0.1466,-0.1466
1.3250000000000002,1.32,1.33,0.1498,0.1488,-0.1488
1.335,1.33,1.34,0.1362,0.1501,-0.1501
1.3450000000000002,1.34,1.35,0.1261,0.1512,-0.1512
1.355,1.35,1.36,0.1211,0.1535,-0.1535
1.3650000000000002,1.36,1.37,0.1223,0.1591,-0.1591
1.375,1.37,1.38,0.1305,0.1694,-0.1694
1.3849999999999998,1.38,1.39,0.1466,0.185,-0.185
1.395,1.39,1.4,0.1713,0.2063,-0.2063

#: -T [GeV^2],,,0.5-0.6
#: E(P=1) [GeV],,,3.6-3.8
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=dmwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.1459,0.06,-0.06
0.415,0.41,0.42,0.1359,0.0612,-0.0612
0.425,0.42,0.43,0.1271,0.0635,-0.0635
0.435,0.43,0.44,0.1195,0.0663,-0.0663
0.445,0.44,0.45,0.1131,0.0691,-0.0691
0.455,0.45,0.46,0.1079,0.0718,-0.0718
0.46499999999999997,0.46,0.47,0.1037,0.074,-0.074
0.475,0.47,0.48,0.1005,0.0757,-0.0757
0.485,0.48,0.49,0.0983,0.077,-0.077
0.495,0.49,0.5,0.0971,0.0777,-0.0777
0.505,0.5,0.51,0.0966,0.0781,-0.0781
0.515,0.51,0.52,0.097,0.0781,-0.0781
0.525,0.52,0.53,0.0981,0.0777,-0.0777
0.535,0.53,0.54,0.0999,0.0772,-0.0772
0.545,0.54,0.55,0.1024,0.0766,-0.0766
0.555,0.55,0.56,0.1054,0.076,-0.076
0.565,0.56,0.57,0.1088,0.0756,-0.0756
0.575,0.57,0.58,0.1128,0.0756,-0.0756
0.585,0.58,0.59,0.1171,0.0762,-0.0762
0.595,0.59,0.6,0.1218,0.0774,-0.0774
0.605,0.6,0.61,0.1267,0.0794,-0.0794
0.615,0.61,0.62,0.1319,0.0822,-0.0822
0.625,0.62,0.63,0.1373,0.0859,-0.0859
0.635,0.63,0.64,0.1428,0.0903,-0.0903
0.645,0.64,0.65,0.1484,0.0954,-0.0954
0.655,0.65,0.66,0.1541,0.1011,-0.1011
0.665,0.66,0.67,0.1597,0.1072,-0.1072
0.675,0.67,0.68,0.1654,0.1138,-0.1138
0.685,0.68,0.69,0.1709,0.1205,-0.1205
0.695,0.69,0.7,0.1764,0.1274,-0.1274
0.705,0.7,0.71,0.1817,0.1344,-0.1344
0.715,0.71,0.72,0.1868,0.1413,-0.1413
0.725,0.72,0.73,0.1917,0.148,-0.148
0.735,0.73,0.74,0.1965,0.1545,-0.1545
0.745,0.74,0.75,0.201,0.1608,-0.1608
0.755,0.75,0.76,0.2052,0.1667,-0.1667
0.765,0.76,0.77,0.2091,0.1721,-0.1721
0.775,0.77,0.78,0.2128,0.1772,-0.1772
0.785,0.78,0.79,0.2162,0.1817,-0.1817
0.795,0.79,0.8,0.2192,0.1857,-0.1857
0.805,0.8,0.81,0.222,0.1892,-0.1892
0.815,0.81,0.82,0.2244,0.1921,-0.1921
0.825,0.82,0.83,0.2264,0.1943,-0.1943
0.835,0.83,0.84,0.2282,0.196,-0.196
0.845,0.84,0.85,0.2295,0.197,-0.197
