#: table_doi: 10.17182/hepdata.74824.v1/t182
#: name: Table 182
#: description: Spin density matrix elements for the P-wave for -T.

#: data_file: Table182.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: RHO
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Photoproduction
#: -T [GeV^2],,,0.5-0.6
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"RHO(P=3_4,C=JJ=0,MM=1-1)",error +,error -
0.815,0.81,0.82,-0.0964,0.0052,-0.0052
0.825,0.82,0.83,-0.1062,0.0063,-0.0063
0.835,0.83,0.84,-0.1153,0.0086,-0.0086
0.845,0.84,0.85,-0.1236,0.0112,-0.0112
0.855,0.85,0.86,-0.1309,0.0136,-0.0136
0.865,0.86,0.87,-0.1373,0.0157,-0.0157
0.875,0.87,0.88,-0.1426,0.0175,-0.0175
0.885,0.88,0.89,-0.1468,0.0189,-0.0189
0.895,0.89,0.9,-0.1501,0.0201,-0.0201
0.905,0.9,0.91,-0.1523,0.0209,-0.0209
0.915,0.91,0.92,-0.1535,0.0215,-0.0215
0.925,0.92,0.93,-0.1538,0.0219,-0.0219
0.935,0.93,0.94,-0.1532,0.0221,-0.0221
0.945,0.94,0.95,-0.1519,0.0222,-0.0222
0.955,0.95,0.96,-0.1498,0.0223,-0.0223
0.965,0.96,0.97,-0.1472,0.0226,-0.0226
0.975,0.97,0.98,-0.1448,0.0231,-0.0231
0.985,0.98,0.99,-0.1447,0.0229,-0.0229
0.995,0.99,1.0,-0.1406,0.0185,-0.0185
1.005,1.0,1.01,-0.1387,0.021,-0.021
1.0150000000000001,1.01,1.02,-0.1366,0.0217,-0.0217
1.025,1.02,1.03,-0.1342,0.0215,-0.0215
1.0350000000000001,1.03,1.04,-0.1313,0.0207,-0.0207
1.045,1.04,1.05,-0.1282,0.0195,-0.0195
1.0550000000000002,1.05,1.06,-0.1247,0.018,-0.018
1.065,1.06,1.07,-0.121,0.0164,-0.0164
1.0750000000000002,1.07,1.08,-0.1171,0.0151,-0.0151
1.085,1.08,1.09,-0.1132,0.0141,-0.0141
1.0950000000000002,1.09,1.1,-0.1092,0.0138,-0.0138
1.105,1.1,1.11,-0.1052,0.014,-0.014
