#: table_doi: 10.17182/hepdata.74824.v1/t116
#: name: Table 116
#: description: Pp wave cross section for -T.

#: data_file: Table116.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.5-0.6
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=ppwave) [MUB/GEV**3]",error +,error -
0.555,0.55,0.56,0.3718,0.1369,-0.1369
0.565,0.56,0.57,0.4392,0.1531,-0.1531
0.575,0.57,0.58,0.5207,0.1706,-0.1706
0.585,0.58,0.59,0.6192,0.1896,-0.1896
0.595,0.59,0.6,0.7383,0.2105,-0.2105
0.605,0.6,0.61,0.8823,0.2336,-0.2336
0.615,0.61,0.62,1.0563,0.2596,-0.2596
0.625,0.62,0.63,1.267,0.289,-0.289
0.635,0.63,0.64,1.5219,0.323,-0.323
0.645,0.64,0.65,1.8304,0.3626,-0.3626
0.655,0.65,0.66,2.2035,0.4093,-0.4093
0.665,0.66,0.67,2.6535,0.4648,-0.4648
0.675,0.67,0.68,3.1935,0.5309,-0.5309
0.685,0.68,0.69,3.8358,0.6096,-0.6096
0.695,0.69,0.7,4.5884,0.702,-0.702
0.705,0.7,0.71,5.4495,0.8083,-0.8083
0.715,0.71,0.72,6.399,0.9264,-0.9264
0.725,0.72,0.73,7.3899,1.0507,-1.0507
0.735,0.73,0.74,8.3415,1.1713,-1.1713
0.745,0.74,0.75,9.1453,1.2745,-1.2745
0.755,0.75,0.76,9.6892,1.3462,-1.3462
0.765,0.76,0.77,9.8935,1.3761,-1.3761
0.775,0.77,0.78,9.7423,1.3618,-1.3618
0.785,0.78,0.79,9.286,1.3095,-1.3095
0.795,0.79,0.8,8.6171,1.2304,-1.2304
0.805,0.8,0.81,7.8351,1.1371,-1.1371
0.815,0.81,0.82,7.0227,1.04,-1.04
0.825,0.82,0.83,6.2362,0.9461,-0.9461
0.835,0.83,0.84,5.5074,0.8594,-0.8594
0.845,0.84,0.85,4.8507,0.7816,-0.7816
0.855,0.85,0.86,4.2687,0.7132,-0.7132
0.865,0.86,0.87,3.7583,0.6535,-0.6535
0.875,0.87,0.88,3.3129,0.6016,-0.6016
0.885,0.88,0.89,2.9253,0.5566,-0.5566
0.895,0.89,0.9,2.5881,0.5174,-0.5174
0.905,0.9,0.91,2.2945,0.4831,-0.4831
0.915,0.91,0.92,2.0387,0.453,-0.453
0.925,0.92,0.93,1.8152,0.4264,-0.4264
0.935,0.93,0.94,1.6198,0.4026,-0.4026
0.945,0.94,0.95,1.4485,0.3814,-0.3814
0.955,0.95,0.96,1.2983,0.3623,-0.3623
0.965,0.96,0.97,1.1662,0.3451,-0.3451
0.975,0.97,0.98,1.05,0.3296,-0.3296
0.985,0.98,0.99,0.9478,0.3157,-0.3157
0.995,0.99,1.0,0.8578,0.3032,-0.3032
1.005,1.0,1.01,0.7785,0.2921,-0.2921
1.0150000000000001,1.01,1.02,0.7087,0.2824,-0.2824
1.025,1.02,1.03,0.6473,0.2741,-0.2741
1.0350000000000001,1.03,1.04,0.5933,0.267,-0.267
1.045,1.04,1.05,0.546,0.2612,-0.2612
1.0550000000000002,1.05,1.06,0.5044,0.2566,-0.2566
1.065,1.06,1.07,0.468,0.2532,-0.2532
1.0750000000000002,1.07,1.08,0.4362,0.2508,-0.2508
1.085,1.08,1.09,0.4084,0.2493,-0.2493
1.0950000000000002,1.09,1.1,0.3841,0.2487,-0.2487
1.105,1.1,1.11,0.363,0.2487,-0.2487
