#: table_doi: 10.17182/hepdata.74824.v1/t103
#: name: Table 103
#: description: Pm wave cross section for -T.

#: data_file: Table103.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.4-0.5
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=pmwave) [MUB/GEV**3]",error +,error -
0.675,0.67,0.68,1.9281,1.208,-1.208
0.685,0.68,0.69,2.3411,1.4177,-1.4177
0.695,0.69,0.7,2.8329,1.6586,-1.6586
0.705,0.7,0.71,3.4054,1.9283,-1.9283
0.715,0.71,0.72,4.0489,2.2187,-2.2187
0.725,0.72,0.73,4.7357,2.5131,-2.5131
0.735,0.73,0.74,5.4149,2.7848,-2.7848
0.745,0.74,0.75,6.0146,3.0,-3.0
0.755,0.75,0.76,6.4561,3.1256,-3.1256
0.765,0.76,0.77,6.6792,3.1411,-3.1411
0.775,0.77,0.78,6.6638,3.0466,-3.0466
0.785,0.78,0.79,6.4351,2.8625,-2.8625
0.795,0.79,0.8,6.0495,2.6203,-2.6203
0.805,0.8,0.81,5.5719,2.352,-2.352
0.815,0.81,0.82,5.0583,2.0828,-2.0828
0.825,0.82,0.83,4.5489,1.8288,-1.8288
0.835,0.83,0.84,4.0676,1.5985,-1.5985
0.845,0.84,0.85,3.6268,1.395,-1.395
0.855,0.85,0.86,3.2303,1.218,-1.218
0.865,0.86,0.87,2.8776,1.0655,-1.0655
0.875,0.87,0.88,2.5657,0.9349,-0.9349
0.885,0.88,0.89,2.2906,0.8235,-0.8235
0.895,0.89,0.9,2.0481,0.7287,-0.7287
0.905,0.9,0.91,1.834,0.6482,-0.6482
0.915,0.91,0.92,1.6448,0.5797,-0.5797
0.925,0.92,0.93,1.4771,0.5217,-0.5217
0.935,0.93,0.94,1.3282,0.4725,-0.4725
0.945,0.94,0.95,1.1956,0.4308,-0.4308
0.955,0.95,0.96,1.0772,0.3956,-0.3956
0.965,0.96,0.97,0.9714,0.3657,-0.3657
0.975,0.97,0.98,0.8765,0.3403,-0.3403
0.985,0.98,0.99,0.7913,0.3187,-0.3187
0.995,0.99,1.0,0.7147,0.3002,-0.3002
1.005,1.0,1.01,0.6458,0.2842,-0.2842
1.0150000000000001,1.01,1.02,0.5836,0.2702,-0.2702
1.025,1.02,1.03,0.5276,0.2579,-0.2579
1.0350000000000001,1.03,1.04,0.4771,0.2468,-0.2468
1.045,1.04,1.05,0.4315,0.2366,-0.2366
1.0550000000000002,1.05,1.06,0.3904,0.2272,-0.2272
1.065,1.06,1.07,0.3533,0.2183,-0.2183
1.0750000000000002,1.07,1.08,0.3199,0.2098,-0.2098
1.085,1.08,1.09,0.2898,0.2016,-0.2016
